CID,survey,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
1901899,des:C,0.98846,1.5509522087239213e-06,3.3632081809476684e-06,2.7156115490737424e-06,3.2825383764005235e-06,2.6196972839411207e-07
1447146,des:C,1.00009,2.9143530625124214e-07,1.929681192664419e-06,1.445835112685695e-05,2.7312341750239045e-05,2.677198778531706e-07
1309870,des:C,1.01382,9.502922657992005e-07,1.8146748214546168e-06,9.320414847363624e-06,1.2712056035305969e-05,2.7458866631905985e-07
1435094,des:C,1.017,1.4001406640522948e-05,2.995312670755848e-05,1.3101632982869843e-06,2.482630372072661e-06,2.761919525964203e-07
1430116,des:C,1.02144,3.1047302473487207e-06,9.862449189189752e-06,1.419179044105689e-05,2.595462456237968e-05,2.7843831049855455e-07
1257228,des:C,1.02433,1.925832720252821e-06,1.3099590100333e-05,3.3959796400504305e-05,7.78483882818467e-05,2.7990535522753265e-07
1303722,des:C,1.02468,6.548482392031981e-08,8.189899186373167e-07,3.441514224304532e-06,1.3101380150999197e-06,2.800832866860344e-07
1263125,des:C,1.02868,0.00011604294630371857,0.0001594077715577105,2.6535821753916795e-08,1.5215086284676754e-08,2.834786458044661e-07
1924188,des:C,1.04136,4.416671343060206e-06,1.4128477666929664e-05,2.3013323473684306e-06,9.530927619355246e-07,2.947591418964081e-07
1255169,des:C,1.0468,4.083570806570801e-06,1.847266097958375e-05,0.001337869393037576,0.002675293692161846,2.996661890212997e-07
1337541,des:C,1.05479,5.518929378170057e-06,2.0570831799014986e-05,0.006703985772402979,0.004525634523174869,3.069468566635618e-07
1842087,des:C,1.08349,4.634198922894298e-06,1.5624657103963525e-05,9.87522184542181e-07,1.275851318859571e-06,3.294352777929974e-07
1446080,des:C,1.13057,7.970487181879097e-07,4.086120481095528e-06,2.679187676851749e-06,2.913059247832307e-06,3.4773829187155027e-07
1257587,des:C,1.14418,1.10593461483846e-06,4.014378198212324e-06,6.366717999636287e-06,1.911963164511913e-06,3.4773829187155027e-07
1317612,des:E,0.10442,1.282901369950343e-10,5.269174791322698e-09,0.0,0.0,1.7910608355621797e-11
