CID,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
120143,0.17378,1.7108170681120592e-09,3.511194966460609e-09,0.0,0.0,4.525230092545166e-10
360145,0.19877,3.216919777572484e-06,3.0870512121433308e-06,3.158052425577844e-15,5.699578640075149e-15,1.0491362233071323e-09
370428,0.17791,3.546758842851437e-08,4.183879366381354e-07,1.2839564482497762e-14,1.8629225637358095e-14,2.3443992789096284e-10
350235,0.26393,1.8446986112165633e-06,1.0702704018766934e-05,1.4965728331622023e-10,1.4957928903884798e-10,1.3404579389972423e-09
160039,0.27094,2.4688406911520172e-08,3.629334062154676e-07,2.2657021124847407e-07,2.050185956887532e-07,1.441125903065617e-09
040201,0.27995,2.3384073782844638e-08,7.070048845164812e-08,4.103938127944918e-13,6.894829564955455e-13,1.707950783659998e-09
130862,0.33298,5.559133144464115e-08,1.98545052162826e-07,1.6722997559094315e-10,3.023237434768936e-11,4.67831081454568e-09
500511,0.33498,2.615439092444258e-09,5.746359928682252e-09,6.311055463940857e-09,5.4503567708786404e-09,4.801144061327256e-09
420159,0.18073,1.5766073622212596e-08,1.692121292328171e-05,2.7603219497035014e-14,1.2040664017590931e-14,4.19792518673688e-10
560150,0.1997,5.947749811885913e-10,7.85066412575074e-06,6.019730774924634e-11,9.149682654247206e-11,1.6479229104745442e-09
440050,0.28557,1.2256663209436784e-08,1.0561338210221184e-08,2.959623752261974e-07,1.8263998477776243e-07,1.4060197479286104e-08
530112,0.31453,1.6736085273428303e-08,4.765726928232663e-08,9.256077246563539e-10,1.1189150998308763e-09,2.1340910114762873e-08
350548,0.18082,1.764149707558763e-08,1.361170255330937e-07,1.867990325839378e-10,3.17464956053848e-10,1.3544605647380154e-09
480064,0.24284,1.2928597427627912e-08,5.0823778332350914e-08,2.3534876289097667e-09,1.7914804206672751e-09,4.437984177080611e-09
110484,0.51095,2.577973202005034e-07,7.016973088618064e-07,5.5286633867802114e-06,1.266651582398352e-05,9.581184050354928e-08
1257695,0.18375,8.740836216794256e-08,1.992966319150432e-07,1.667737867968254e-11,2.095357027031885e-11,1.6747279383586354e-09
1331123,0.2215,6.136043992910768e-08,7.3192265337173934e-06,3.062273700500187e-10,1.3351576117877784e-10,6.5554619365614755e-09
1343533,0.36839,2.3031630021295893e-06,1.819845480909401e-06,1.8088176050828768e-10,1.7379563160959207e-10,4.4958578317295184e-08
1328066,0.44886,9.932365298347813e-08,1.344317847332764e-07,2.3475130020929895e-09,2.3538338668455513e-09,7.846188568413862e-08
1317454,0.56879,3.1010720787332053e-06,4.7542805620584605e-06,2.8460312184937767e-08,3.1454227067933294e-08,1.3246419150047634e-07
1302141,0.60876,2.164640225812078e-07,3.630906535366303e-07,1.0700682542838549e-06,1.3313670705721617e-06,1.582816619402818e-07
590002,0.20128,5.1617073602824446e-08,7.534034905531978e-08,1.0565022429960499e-07,1.028516498140781e-07,2.29382297737185e-08
490037,0.42348,5.293885155115524e-07,2.1652676671676087e-06,0.0011385667403651,0.0044164624801844,1.48073719527116e-07
110033,0.20483,1.4541332622658417e-08,1.6799818604634888e-07,5.89254218524748e-08,1.1974840861059185e-07,6.802091454915416e-10
420352,0.38895,1.2301869482397676e-07,1.568264174603449e-07,9.51064277487138e-10,1.1270676109964487e-09,1.610968611809192e-08
080723,0.4302,4.607707611324955e-05,9.67654955285047e-05,6.907136208169319e-07,7.671122091723341e-07,2.1535030389168487e-08
200132,0.20868,1.3793741285820253e-08,4.2782439513348166e-08,1.4468099943190348e-11,2.4396346251821096e-11,5.933875713984e-09
140152,0.20879,2.9340716905028893e-08,2.639829126551393e-07,1.0357821555598581e-07,8.225698480846844e-08,2.580150832387044e-09
350047,0.23378,1.5152927288875786e-08,3.832944541782171e-08,9.962439434610248e-11,4.3899153841523174e-10,3.514983882339467e-09
000174,0.24511,2.3970239058285533e-07,8.177701799277596e-07,3.6989904978999964e-08,2.7734047429861323e-08,3.9085124921306575e-09
150457,0.30352,8.728117017619021e-09,1.155870719501494e-08,5.983547445470149e-08,3.127478396249015e-08,6.919130240319318e-09
350027,0.30581,3.203906970972649e-07,7.241685364005661e-07,2.8388089106317827e-09,3.5763272146423655e-09,7.082245988786787e-09
340334,0.30681,3.8030226605588735e-06,5.624301356762538e-06,4.899700804775668e-10,8.00357006964007e-10,7.154071689211123e-09
040150,0.38185,1.7124156882561683e-08,2.2680197356361407e-08,1.5605235969181294e-09,8.661788576092396e-09,1.3337109117013671e-08
110567,0.2144,1.923551038744094e-05,0.0001427534714668,3.9756597909588574e-09,8.305975364687597e-09,2.02941350431562e-08
550096,0.22449,3.50105129121689e-09,7.624423373992183e-07,5.3274795789170694e-08,3.0080161248254455e-08,2.3722423474992954e-08
180561,0.22865,1.593955274111776e-09,7.753968211482747e-08,3.727278119060653e-11,6.110964950308089e-11,1.523575328523266e-09
560152,0.24862,2.2891233412742725e-05,0.0001003427554002,1.37370324552881e-10,1.7575098264160075e-10,2.4093690261146164e-09
080646,0.31822,4.677967755256626e-08,2.007732110522902e-07,2.7388960566098755e-09,4.536930163109909e-09,7.655649543749834e-09
530251,0.4114,4.26698899428126e-07,4.711147041900191e-07,2.8486661377140367e-10,3.258909291704911e-10,2.1945027279497904e-08
360140,0.23092,7.564230058353982e-09,1.2001697619019432e-08,7.927289044005128e-09,5.884441766343144e-09,3.19185581212445e-09
170078,0.32096,2.441936448114009e-06,2.7369422407209075e-06,1.960212506136509e-08,3.4576880660076054e-08,1.2040163542884044e-08
360139,0.386,1.4086992495738106e-08,6.87419836789466e-07,1.311677748646914e-07,7.519298924191354e-08,2.030513824814517e-08
510597,0.46104,1.223963332152315e-07,6.544364115963513e-07,2.615004904692294e-07,2.1172002915807505e-07,3.389473241094456e-08
510457,0.50306,0.0001009986611276,0.0001044113567175,1.761694662997084e-07,1.8994930231829729e-07,4.373497707546738e-08
430004,0.23162,4.912220171268861e-06,2.3605541273812597e-05,2.954873491601864e-08,2.6900692980085443e-08,6.749331964223121e-09
420196,0.29853,1.6292774812154572e-08,1.892246543335433e-07,2.3888311279364236e-10,9.15033226942659e-11,1.6954937511945822e-08
570022,0.30152,2.7189611533640263e-09,6.271278795645769e-09,1.644350237569356e-10,1.6903416671042606e-10,1.7446444095973623e-08
550059,0.3185,1.0857729299010108e-08,1.0150583005050328e-07,4.430410059781939e-08,4.5865050272045585e-08,2.037085832655344e-08
530219,0.32848,6.575050001469805e-08,2.004736194895358e-07,3.1729045619685646e-11,2.1774767465319935e-11,2.2147176106599093e-08
310090,0.34696,1.9193599818721316e-06,4.133385867098106e-06,6.10644908990187e-10,1.1901290140675447e-09,2.5453532490459778e-08
550202,0.42036,1.3669399091808924e-05,2.869364464204555e-05,3.930806807579034e-08,3.909821527643285e-08,4.842506198365024e-08
