CID,sample,HOST_RA,HOST_DEC,zHD,HOST_LOGMASS,MU,MUERR,PROBIA,clipped,cluster_targeted
SN2009D,CSP,58.59509791666667,-19.181772111111112,0.024693393036405165,11.0,34.99976262275489,0.16144763834467474,1.0,False,False
SN2009Y,CSP,220.60086041666665,-17.24654177777778,0.010089646695707555,11.0,32.88134609072018,0.2672395649090648,1.0,False,False
SN2009aa,CSP,170.926167,-22.270694,0.02852554140428709,11.0,35.39062199687927,0.15438473109411147,1.0,False,False
SN2009ab,CSP,64.151625,2.764167,0.010895503801719997,11.0,33.727571720971845,0.2548621592301316,1.0,False,False
SN2009ad,CSP,75.88911024999999,6.6599335,0.028335582192686504,11.0,35.44706367438815,0.15449018395399425,1.0,False,False
SN2009al,CSP,162.84191441666667,8.57842788888889,0.023318151371335527,11.0,34.99698463838852,0.16211349814739223,1.0,False,False
SN2009cz,CSP,138.750083,29.735306,0.021974309379126478,11.0,34.82180610936581,0.16606719772394632,1.0,False,False
SN2009ds,CSP,177.26694791666668,-9.729080611111112,0.020469562592904667,11.0,34.63308780521386,0.17412325242291551,1.0,False,False
SN2009le,CSP,32.3214585,-23.41243588888889,0.01704016563921984,11.0,34.31135985796787,0.18643413228413844,1.0,False,False
SN1990O,CalanTololo,258.8996666666667,16.323833333333333,0.030237616097197773,11.0,35.53414936272201,0.1463466370581511,1.0,False,False
SN1990af,CalanTololo,323.74216666666666,-62.73538888888889,0.05020164878872624,11.0,36.656178529485445,0.13384992180708552,1.0,False,False
SN1992P,CalanTololo,190.70395833333333,10.360416666666667,0.026315743244899714,10.34,35.337295941093224,0.15410754576015673,1.0,False,False
SN1992ae,CalanTololo,322.0735833333333,-61.55,0.07477651489201498,11.0,37.4778318974306,0.1360908042900124,1.0,False,False
SN1992ag,CalanTololo,201.04216666666667,-23.877583333333334,0.02592806188750907,10.02,34.943947792347295,0.15355523349757186,1.0,False,False
SN1992al,CalanTololo,311.48520833333333,-51.394444444444446,0.014094533239342733,11.0,33.78984200403881,0.2014318687049172,1.0,False,False
SN1992aq,CalanTololo,346.1448333333334,-37.34502777777778,0.1008256185716736,10.0,38.50219891451511,0.12446279209864572,1.0,False,False
SN1992bc,CalanTololo,46.322,-39.56102777777778,0.019790318185080036,9.72,34.602835495159724,0.16674011972105346,1.0,False,False
SN1992bg,CalanTololo,115.48554166666666,-62.519111111111116,0.03569528303441749,11.0,35.93366606154002,0.14327150080471157,1.0,False,False
SN1992bh,CalanTololo,74.86479166666668,-58.828944444444446,0.04509805200228767,11.0,36.57919558785213,0.13055342495162553,1.0,False,False
SN1992bl,CalanTololo,348.8052083333333,-44.742916666666666,0.04290034345656313,11.81,36.34830740289387,0.13629098956622238,1.0,False,False
