CID,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
h311,0.7579073030839674,2.595825957372692e-07,2.891992390987162e-07,2.330294370254406e-06,2.6672475174766817e-06,8.988270277305157e-08
k411,0.5631413669892724,3.6965800286866913e-07,1.6612897475610124e-06,1.2286268179847193e-08,1.7799277260871452e-08,3.50054545854853e-08
k432,0.7039734732901939,9.995950195500788e-07,3.371233531375288e-06,1.890877977108366e-09,2.2479258408557955e-09,7.215033337188543e-08
m158,0.4592687424293593,6.138671202352402e-07,1.275538344374139e-06,2.221340941909047e-09,1.4479601764551324e-09,1.811410627316614e-08
n278,0.3024565677312314,3.540709310478009e-07,2.340839699108237e-06,2.6293915437168033e-09,2.8472170906551635e-09,3.903014239323889e-09
n285,0.529176683250381,2.899526529862596e-07,5.10060434302219e-06,4.058852946558556e-09,5.898614897524528e-09,2.9212758931991444e-08
n326,0.2625009709816941,3.355149195922411e-08,5.2129619182593865e-08,4.835775494146084e-09,5.3069986416392045e-09,1.9013186912709047e-09
p425,0.4562682096888915,2.7385094251017293e-07,5.843913062765803e-06,1.0607714605115483e-09,9.001361910965175e-10,1.770613196618999e-08
b020,0.4247473012812337,9.879349511175281e-08,3.431894993380566e-07,8.515314461744783e-08,1.6360342376725958e-07,2.0518836638363377e-08
b022,0.5266655088863712,5.494346879016817e-08,1.963139461221776e-07,9.216291007804316e-07,1.319813478912998e-06,3.8214112436019325e-08
d149,0.3378507224528648,1.9251967929522873e-07,4.581636100967247e-07,4.074243305207554e-09,3.720915507537414e-09,1.1046458768144493e-08
e132,0.2429207874196188,3.749137512396904e-08,1.1426058280970044e-06,4.5322225692394784e-08,4.7863678071901365e-08,2.616100711000716e-09
e136,0.3598297187074109,5.579597023460939e-07,1.3942856994656966e-06,2.1749901331334798e-07,2.4716414590797797e-07,1.3157460717509828e-08
f011,0.5346816617829064,1.3999966747048037e-08,2.755699124356073e-07,9.924949111866977e-06,9.286470260879164e-06,4.0025491925928816e-08
f123,0.5246798168642237,2.2973258686915257e-07,1.2134922377250577e-06,1.1654406517840382e-08,1.8576435550477713e-08,3.7765697216933755e-08
h283,0.4936837341332021,2.7884003475204444e-07,1.0988663482111322e-06,5.52419467749961e-08,8.355424629486935e-08,3.0654109081626616e-08
h319,0.488709472758589,7.552184700470657e-07,3.6980224579856567e-06,7.314828465684231e-08,3.3921895566281985e-08,2.9581856535697812e-08
h359,0.3468353577465037,1.2173313608779717e-07,2.693683264634112e-07,1.020198117482084e-08,4.896454386708662e-09,1.1887109025440276e-08
h363,0.2099413470912632,5.03625353451162e-06,7.856342501011955e-05,2.4145431163715685e-12,2.354473269680969e-12,1.3080939278195086e-09
n258,0.5176722097412447,1.98236196774451e-07,4.997162020144159e-07,2.8760344901720877e-05,8.175212357063861e-05,3.6093064224744593e-08
n263,0.3667998924988842,1.637945366204174e-06,1.5950038403679212e-06,5.315033416997053e-07,1.5157574107884757e-06,1.3865446331159894e-08
p444,0.631567796784452,5.534730707409226e-07,1.101137225861843e-06,3.9337540132063934e-09,2.3340663130252943e-09,5.962761798489086e-08
p454,0.6895282608192435,1.4558279716567203e-05,1.368966562093865e-05,3.8040837145385217e-06,9.456486165867898e-06,7.210216993658456e-08
p455,0.2958859459416527,3.366957250865593e-08,7.678614718365651e-07,2.3939820381822054e-10,2.913830238729985e-10,6.581634849327426e-09
p459,0.700536347487636,8.13526562702603e-06,9.296707730786872e-06,1.4985578342459678e-07,1.669741387933999e-07,7.698180987665647e-08
q002,0.3458115547673621,3.167677367444219e-08,1.9111535444716287e-07,1.416582779396214e-09,2.108929025691449e-09,1.1789760433054632e-08
q006,0.2888903823388224,1.56783924603235e-07,1.3751680495186905e-07,1.1581304003707667e-10,2.8687133475076703e-10,5.885312490049436e-09
q107,0.6505648400562036,1.5332529926391459e-07,7.246094188539337e-07,6.785015306864579e-06,7.32010169040277e-06,6.233537944748832e-08
q108,0.6215743858226541,1.3951394324628636e-07,1.0932642715848602e-06,2.5229194347623552e-08,3.443319994697919e-08,5.806989473878594e-08
r186,0.3118499002176049,1.3231545188901974e-08,8.476458113920446e-08,1.1826189260573466e-09,9.106819859424453e-10,8.316406601007316e-09
r190,0.3538348756858906,2.5001586014473806e-06,4.04033887801851e-06,4.3403240718354023e-08,3.9932160971621145e-08,1.2563382654044164e-08
r195,0.5406664243958481,2.0627461506894818e-07,7.131693848809216e-07,6.586093461121877e-08,9.401754449084253e-08,4.140519177863071e-08
r207,0.5586419648820473,5.969502378729132e-06,9.419420924360116e-06,4.618924013840581e-07,4.199280778150779e-07,4.5689751145544584e-08
r209,0.4437417347573993,7.710572340504452e-09,8.439452273862858e-08,4.308336580192828e-08,3.076542446254549e-08,2.2770329918319532e-08
r212,0.6520721795077176,1.3191202502223732e-06,8.038170181256026e-06,6.675313655586454e-09,1.1812201430604711e-08,6.255280405039771e-08
r213,0.3258575436194026,3.5004776087651296e-08,1.292308081633371e-07,2.9105102076611037e-10,5.702532852287371e-10,9.972349381822829e-09
r318,0.2199329305488304,1.5811432940364355e-08,1.0371099084979043e-07,2.8031867135183695e-11,5.592883818763614e-11,1.590160312371695e-09
r322,0.5126645936628196,4.940521837134414e-07,1.2495553279670803e-06,1.8955712387386112e-06,3.608065731244176e-06,3.4921014025002384e-08
s350,0.6805327501170186,6.651998777058589e-06,1.2111172047508594e-05,1.4695347291851858e-07,1.205286893569927e-07,6.823327558294756e-08
s351,0.7265073201831505,5.6005909496544994e-08,3.137788922463519e-07,1.7128510400763306e-08,2.9850168914701887e-08,8.932562170001017e-08
s354,0.5576385258377068,5.026018203119733e-06,6.6460059525415615e-06,3.4040805831546274e-08,3.4494330069445826e-08,4.5445018509032106e-08
s355,0.6685384476530045,3.669523609592953e-06,1.0112980745195663e-05,8.530381721239579e-07,1.8701258652408329e-06,6.495261695710739e-08
s372,0.7055128567415452,3.440663738376047e-07,1.1239220634087032e-06,5.907128746091301e-06,5.5630728320240336e-06,7.924022222963288e-08
s373,0.6495822129900819,4.01443569312785e-06,1.521275571129719e-05,4.9834018100736464e-08,9.938519059974857e-08,6.219384524435397e-08
s380,0.6345886281866271,1.7832153875440702e-06,1.8943497099882717e-06,2.1109091239084684e-08,1.824523742205633e-08,6.005417486420061e-08
x020,0.648569981548516,4.073394242893105e-05,0.0001330018538384,1.4443936652305806e-07,4.158394375407033e-07,6.204821513333327e-08
x034,0.5296896841528145,3.821207329106033e-07,1.085678277728549e-06,1.946675035786624e-06,2.092109618015554e-06,3.8892546948824136e-08
x066,0.3278590246405002,4.2400001388868e-08,7.858110599164977e-08,4.1889699806632087e-10,6.987783457248104e-10,1.0147783815709728e-08
x071,0.4857209163159626,4.161699820758774e-06,4.740468533536882e-06,6.499206652320198e-07,1.2011425182157582e-06,2.8946822238302017e-08
y125,0.3098502058649615,1.2445965322546971e-08,1.9953758596310889e-07,2.150216884397402e-09,2.486852182054719e-09,8.087999045429554e-09
y143,0.4617221329773824,1.8270724915567393e-07,3.8498689668642377e-07,3.219836852136849e-06,3.509770268502224e-06,2.5006719283602096e-08
y151,0.582634479614266,0.0001590288467892,0.0001929365783783,1.5589564150452413e-08,1.7019199689807693e-08,5.1088425865543026e-08
y154,0.6525751575260195,9.147250952511818e-06,3.140603502908653e-05,1.6916079210529494e-06,2.2010775703000933e-06,6.26254398169355e-08
y158,0.4846988233451736,1.6543877326016794e-08,1.3093705439435153e-07,1.8494188516539783e-08,1.2821623189940004e-08,2.8731220305681232e-08
y163,0.6285693260996805,5.212984118976521e-07,3.805906120515486e-06,2.265159735555028e-06,4.50667441758633e-06,5.9205722007591465e-08
z181,0.6185893802843139,2.4407997981006747e-08,1.090289969580119e-07,2.431736884507615e-07,1.634137238210331e-07,5.751889973550029e-08
z202,0.219920007552925,9.158555385751839e-10,4.400378449701235e-09,4.084895507856615e-11,1.3045775616595909e-10,1.5897777190963786e-09
z203,0.2489128322906317,4.2826962298863517e-10,7.823550810007671e-10,8.179516100892825e-09,1.2201653815471346e-08,2.947130352806687e-09
d058,0.5822986628335332,2.7770540303781976e-06,1.4676448059781709e-05,2.4938205643210448e-06,1.00080032873951e-06,9.573252266966156e-08
f041,0.556325685874058,3.3473425290148685e-08,1.7322298471943046e-07,6.137617571917862e-07,9.276122320826586e-07,8.685100406877967e-08
f235,0.4154926787464625,9.178549542103266e-08,1.5426567070081222e-07,3.3547052104347967e-08,1.3785378679155976e-08,3.6106919388837295e-08
g120,0.5044023834831273,6.662777324628047e-09,3.0540526980664157e-07,8.26891686425372e-07,6.474660417193954e-07,6.583532030749689e-08
g230,0.3905191533901728,8.69781082563195e-07,1.340202726233181e-06,8.638576063086289e-08,1.1237562847869335e-07,2.9209320667425924e-08
k425,0.2686567337013641,1.3363094040521258e-10,3.1764329110917664e-10,1.5100015493801204e-08,6.109405684187286e-09,6.714997412699865e-09
k430,0.5743282404936323,1.819622987508747e-07,1.717490828427235e-06,4.618989946452951e-07,8.971982412930602e-07,9.327210469888832e-08
k448,0.4074898064083947,1.7092732575006192e-08,1.9180860569409418e-07,4.050576602645824e-08,3.6011823396331155e-08,3.3817021937288326e-08
m001,0.2856194697877432,4.741174321351414e-07,2.017695368881458e-06,1.874638612320358e-09,3.31882857938142e-09,8.789239121502663e-09
m027,0.2876195094507323,8.06585407979541e-08,2.7778718748170146e-07,4.880919880260804e-09,4.827653402894887e-09,9.118186430849781e-09
m062,0.3125933768214286,4.751909584460488e-09,2.5107021365883513e-08,1.5415317113289067e-09,2.0203195268746396e-09,1.3734485123658436e-08
n246,0.7041997244415104,3.827378579067692e-06,1.4147923451032515e-05,5.1068864027550086e-08,7.728799473169934e-08,1.477346174864877e-07
p445,0.8050809213896892,6.85455006745395e-07,6.232470721752816e-06,7.624164168528168e-06,1.3182416533414069e-05,2.010129324228689e-07
q022,0.2246966383433939,1.629048875191345e-06,5.363673140519545e-06,3.45951339916521e-09,3.625179469943591e-09,4.103374350646328e-09
q048,0.4384830661725869,1.395012547790865e-07,4.632455651311158e-07,1.1613374558650949e-06,1.1423648621554414e-06,4.2343271862778053e-08
q069,0.2606551436080841,1.0521354498853752e-08,3.3131396898036976e-07,4.933717399421843e-09,6.560402686526315e-09,6.192930197235571e-09
