region,ra,dec,radius_deg,n_sn,z_max,process
77,349.373819,0.429384,0.0,1,0.117969,False
78,1.8305767396631714,0.3168076090030807,0.3802638073407625,3,0.263492,True
79,317.7409291626484,-0.28427689809995504,0.1874394570612562,2,0.244357,True
80,312.04319,-1.171422,0.0,1,0.151859,False
81,6.861613960450044,0.8850529001461208,0.24176402779599954,2,0.384917,True
82,31.386104724014384,-0.4029161112884389,0.6659506177555593,6,0.338803,True
83,52.52314138510684,-1.16639582887248,0.19479460042840074,2,0.300212,True
84,344.201455,0.401109,0.0,1,0.288898,True
85,50.09042000000001,-0.8855930000000001,6.361126079373088e-15,1,0.194216,False
86,315.86528000469997,0.5134587490909426,0.07958077040090329,2,0.301646,True
87,20.406706,-0.977236,0.0,1,0.164306,False
88,27.057081177278295,0.48441015838122037,0.18253445264703583,2,0.197858,True
89,312.66055804885366,-0.5757690275751149,0.4119839544098825,4,0.399403,True
90,55.49704,-0.7826550000000001,9.93923337957349e-17,1,0.126077,False
91,53.79488901744613,0.71185492421243,0.5151674716583671,4,0.389088,True
92,12.237703,-0.9057400000000002,1.987846675914698e-16,1,0.330513,True
93,38.47607899075423,0.4147475000188313,0.1340316120550876,2,0.455,True
94,354.44633961171996,0.44510268311462026,0.20374346144686933,2,0.275441,True
95,21.528351,0.6768580000000001,9.93923337957349e-17,1,0.331035,True
96,329.0759402914659,-0.2977431675501025,0.20563316439004078,2,0.291136,True
97,307.219166,-0.7792290000000001,9.93923337957349e-17,1,0.17431,False
98,49.75419125893816,-0.09734469013355193,0.24804428339541568,2,0.181225,True
99,2.368614,1.154935,0.0,1,0.40946,True
100,3.2073049813996932,0.2714875808174533,0.5302316230064342,5,0.401274,True
101,11.492933885972983,0.9568989062089379,0.1844554336503282,2,0.21163,True
102,22.90933197098186,-0.5549117706417529,0.15952395939923592,3,0.391599,True
103,327.786194,-0.8429359999999999,9.93923337957349e-17,1,0.309294,True
104,348.9858760635317,-0.6129181830567831,0.16098146771432312,2,0.230491,True
105,34.78346987156017,-0.328840026255428,0.06050058993262679,2,0.279228,True
106,337.58066109573866,-0.29855630286870544,0.36109359457519136,5,0.287037,True
107,3.1949995660770236,-0.7987141055274437,0.19202496930006743,2,0.29353,True
108,46.088615,-1.06296,0.0,1,0.123762,False
109,323.2872448160097,-0.9283724218471252,0.9694448496129822,7,0.309149,True
110,5.8302659320202785,-0.33283558780068134,0.39297072349542134,4,0.370458,True
111,16.061045355359365,0.2933042644970028,0.42454973588093226,4,0.308214,True
112,307.936123,0.24475699999999997,4.969616689786745e-17,1,0.298878,True
113,310.482822,1.091998,0.0,1,0.265764,True
114,358.969331,0.876966,0.0,1,0.326398,True
115,345.26236,-0.20736699999999997,2.4848083448933725e-17,1,0.303538,True
116,350.018467,-0.055446,0.0,1,0.108856,False
117,4.546286340462338,-0.3408644407211476,0.3911966932948204,4,0.320448,True
118,314.186085,0.40835099999999996,4.969616689786745e-17,1,0.366604,True
119,26.497623,1.195954,0.0,1,0.189787,False
120,52.090313,-0.326094,0.0,1,0.218347,True
121,32.459949,-0.061798999999999986,1.2424041724466862e-17,1,0.211597,True
122,39.116806000000004,0.511273,6.3608561065224744e-15,1,0.257598,True
123,40.20978154011427,0.8259515001143566,0.1672032181837402,2,0.420927,True
124,310.080215,-0.007178000000000001,0.0,1,0.379863,True
125,348.464995,1.2569879999999998,1.987846675914698e-16,1,0.270906,True
126,318.7776288494969,-0.3243423355524881,0.23402168281914923,3,0.404499,True
127,357.4700639495654,-0.9509193046714814,0.4343200622085633,3,0.224519,True
128,7.840942793149196,-0.19154764453048417,0.5406623561989878,5,0.25655,True
129,347.78829073971855,-0.7060478570503107,0.32620811306182795,3,0.38928,True
130,325.001995,-0.007925,0.0,1,0.144093,False
